target,window,key,donor_r,status,Tc,moment_err
CoTi,0.15,144,1.139162767366352,ok,13.654226117487703,3.976669216143591e-09
CoTi,0.15,591,1.215493972786655,ok,13.608982861586266,1.5289991495137656e-12
CoTi,0.40,453,1.1321974221347502,tilt_failed,,
CoTi,0.40,465,1.0275174753837455,tilt_failed,,
CoTi,0.40,796,1.0771268421274127,tilt_failed,,
CoTi,0.40,107,1.081495084123776,tilt_failed,,
CoTi,0.40,31,1.127390982145868,tilt_failed,,
CoTi,0.40,27,1.1878485234326608,ok,13.616900431369018,1.1102230246251565e-15
CoTi,0.40,3,1.2264104119995611,ok,13.601065291803513,1.8158647918653514e-09
CoTi,0.40,809,1.318700227235636,ok,13.610113942983801,1.3322676295501878e-15
CoTi,0.40,246,1.680666722983827,ok,13.651963954692631,4.75175454539567e-14
CoTi,0.40,318,1.5619313928759844,ok,13.56826393127497,6.106226635438361e-15
CoTi,0.40,720,1.0735568160580529,tilt_failed,,
CoTi,0.40,662,1.0910184168514014,tilt_failed,,
CoTi,0.40,305,1.1558965557084193,ok,13.788824803794483,2.7122748491592574e-13
CoTi,0.40,402,1.1421309306183856,ok,13.620293675561625,6.724842904759498e-12
CoTi,0.40,595,1.1108004815198855,tilt_failed,,
CoTi,0.40,681,1.4598782889936575,ok,13.576181501057722,1.8819670266623234e-09
CoTi,0.40,526,1.0638306187470297,tilt_failed,,
CoTi,0.40,301,1.1203710110134675,ok,13.64178422211481,8.65441052155802e-12
CoTi,0.40,137,1.2307455302633798,ok,13.584099070840475,3.4305891460917337e-13
CoTi,0.40,187,1.2106070966716413,ok,13.625949082549305,1.56097357262297e-13
CoTi,0.40,713,1.071347758063508,tilt_failed,,
CoTi,0.40,248,1.280188717801789,ok,13.64970179189756,5.684341886080802e-14
CoTi,0.40,683,1.1638297000632745,ok,13.566001768479898,5.6784688062805344e-11
CoTi,0.40,816,1.197729369049827,ok,13.575050419660187,2.05657713081564e-12
CoTi,0.40,50,1.2680247255034056,ok,13.667799094258136,7.051470518604219e-12
CoTi,0.40,64,1.115432932623103,tilt_failed,,
CoTi,0.40,356,1.2253059371390322,ok,13.56034636149222,8.131628703722527e-11
CoTi,0.40,188,1.1702211910012936,ok,13.628211245344376,2.086186778882393e-11
CoTi,0.40,480,1.1117976181579046,ok,13.658750443077848,3.913314117198752e-12
CoTi,0.40,102,1.6428132221391716,ok,13.598803129008441,1.3322676295501878e-15
CoTi,all,318,1.5619313928759844,ok,13.56826393127497,6.106226635438361e-15
CoTi,all,728,1.185661417883195,ok,13.628211245344376,7.917111410904454e-12
CoTi,all,502,1.3294383485105485,ok,13.610113942983801,5.298816940779716e-10
CoTi,all,675,1.162111940051532,ok,13.592016640623227,1.8818280267396403e-13
CoTi,all,564,1.2228748677795211,ok,13.598803129008441,5.935030245041162e-12
CoTi,all,2,1.7162466041892894,ok,13.615769349971481,2.708944180085382e-14
CoTi,all,404,1.0354218994671103,tilt_failed,,
CoTi,all,491,1.2202170726462003,ok,13.597672047610905,6.641687200215074e-12
CoTi,all,633,1.3835459500754543,ok,13.75036803627826,1.763175383473481e-09
CoTi,all,438,1.079207962602121,tilt_failed,,
CoTi,all,185,1.3619305641256603,ok,13.569395012672507,4.909765927152421e-10
CoTi,all,801,1.2236251517407148,ok,13.56826393127497,1.9984014443252818e-14
CoTi,all,595,1.1108004815198855,tilt_failed,,
CoTi,all,217,1.166656266846943,ok,13.594278803418298,5.863087793045452e-12
CoTi,all,326,1.2148807908770896,ok,13.582967989442938,4.10079692425569e-09
CoTi,all,668,1.2798428607989982,ok,13.577312582455258,3.6637359812630166e-15
CoTi,all,620,1.1571634233029482,ok,13.69155180360639,3.1480373863246314e-12
CoTi,all,435,1.7627691213210244,ok,13.606720698791193,3.752553823233029e-14
CoTi,all,457,1.0850011837940292,tilt_failed,,
CoTi,all,464,1.0700449619782797,tilt_failed,,
CoTi,all,257,1.2394352500850188,ok,13.594278803418298,4.546141241235091e-12
CoTi,all,15,1.1274910127681486,tilt_failed,,
CoTi,all,107,1.081495084123776,tilt_failed,,
CoTi,all,52,1.3362714590165126,ok,13.567132849877435,5.346834086594754e-12
CoTi,all,367,1.2983283167696047,ok,13.576181501057722,4.440892098500626e-16
CoTi,all,562,1.0504659159101686,tilt_failed,,
CoTi,all,213,1.5349021026957292,ok,13.62708016394684,5.46229728115577e-13
CoTi,all,116,1.333078688177768,ok,13.586361233635547,1.659339332604759e-12
CoTi,all,495,1.5730292257311251,ok,13.56826393127497,2.1283463880195086e-09
CoTi,all,276,1.2002689769020587,ok,13.621424756959161,6.659237605788348e-10
AsZr,0.05,326,1.2148807908770896,ok,8.809835354016332,2.220446049250313e-16
AsZr,0.05,682,1.1590535694655726,tilt_failed,,
AsZr,0.05,383,1.2506175753824262,ok,8.849637192205144,7.349676423018536e-14
AsZr,0.05,816,1.197729369049827,ok,8.806940674875328,1.4031221740040678e-09
AsZr,0.05,491,1.2202170726462003,ok,8.818519391439345,1.0413891970983968e-13
AsZr,0.05,677,1.2450379848219353,ok,8.81562471229834,3.681905891284032e-10
AsZr,0.05,546,1.2035695009052403,ok,8.818519391439345,7.127631818093505e-14
AsZr,0.05,675,1.162111940051532,tilt_failed,,
AsZr,0.05,145,1.1809791869368715,ok,8.955292980851809,1.0104472814020937e-11
AsZr,0.05,779,1.1787220633211999,ok,8.843847833923135,9.214851104388799e-14
AsZr,0.05,0,1.2495659770880998,ok,8.824308749721354,5.329249708196926e-09
AsZr,0.05,252,1.1634444275069369,ok,8.843847833923135,8.075429214216001e-12
AsZr,0.05,249,1.1619572733578234,tilt_failed,,
AsZr,0.05,437,1.1825567466401468,ok,8.838782145426375,1.3289369604763124e-13
AsZr,0.05,140,1.208104391913723,ok,8.830098108003362,2.886579864025407e-15
AsZr,0.05,651,1.185311113838804,ok,8.814177372727837,5.440092820663267e-14
AsZr,0.05,448,1.2120314513289339,ok,8.844571503708387,4.440892098500626e-16
AsZr,0.05,22,1.2230707005175832,ok,8.80766434466058,1.1442513603299176e-11
AsZr,0.05,707,1.197854660861849,ok,8.83588746628537,8.881784197001252e-16
AsZr,0.05,69,1.187244556731469,ok,8.827203428862358,4.6440177259299276e-09
AsZr,0.05,752,1.1843795937360242,tilt_failed,,
AsZr,0.05,333,1.189435567980418,ok,8.82141407058035,1.4794832026154836e-12
AsZr,0.05,282,1.2101433517951088,ok,8.80911168423108,5.551115123125783e-15
AsZr,0.05,760,1.2102611209640577,ok,8.804769665519576,5.538303815555423e-09
AsZr,0.05,384,1.2076858355504752,ok,8.81562471229834,1.4553913629811177e-12
AsZr,0.05,800,1.195687095530662,ok,8.824308749721354,1.066774446556451e-10
AsZr,0.05,768,1.2320401148776585,ok,8.781612232391538,4.640320683257926e-09
AsZr,0.05,753,1.2467991454991594,ok,8.801874986378571,1.3131717935266352e-12
AsZr,0.05,96,1.183748064018879,ok,8.832992787144367,2.3314683517128287e-14
AsZr,0.05,672,1.2416838277420752,ok,8.838058475641127,2.220446049250313e-16
AsZr,0.15,163,1.3262402355053773,ok,8.797532967667063,1.5853984791647235e-13
AsZr,0.15,173,1.1474876084722654,tilt_failed,,
AsZr,0.15,514,1.1290047319323775,tilt_failed,,
AsZr,0.15,677,1.2450379848219353,ok,8.81562471229834,3.681905891284032e-10
AsZr,0.15,678,1.095180663218599,tilt_failed,,
AsZr,0.15,551,1.1458396537656301,tilt_failed,,
AsZr,0.15,587,1.126071575809924,tilt_failed,,
