key,formula,source_name,lam,w_log,w_2,w_ratio,w_max,Tc_AD,Tc_AD13,Tc_ME,Tc_ME13,secs
741,S2Si2Zr2,,0.15992070958458654,29.992937537140698,33.12477826615053,1.1044192728748767,51.7505195872,9.711426018710879e-09,5.0426819617407695e-29,0.0,0.0,158.9422676563263
742,InNSc3,,0.15468149701334138,30.064287377268524,35.05017427192792,1.1658408473845685,60.7505567105,7.923611948134964e-10,5.834837558919881e-41,0.0,0.0,116.55814266204834
743,B4Ru2,,0.41969412320387756,30.079806746336256,44.0541162921898,1.4645744456970498,103.650293747,1.9420779263693262,0.9217206727375885,1.9680667316279,1.1079747448363415,2.9495837688446045
744,C2S2,,0.4594092647918226,30.131724590872487,42.040277731225274,1.3952164471847102,99.4508932148,3.031816966517621,1.6517015446608034,2.9658012986217983,1.8123200435640525,1.60146164894104
745,BeGaMn2,,0.2271461892367698,30.141247078450192,33.94952529051268,1.1263477321343236,63.5506105888,0.00367385150723092,2.733146288656907e-05,0.006992187499999999,0.0,199.92189359664917
746,CV2,,0.3048168262652045,30.171624350627958,39.746618409020556,1.3173509635119567,92.450894576,0.19944459772237283,0.035211680938679636,0.2512412751704134,0.07465288995886082,58.28537368774414
747,AlCo2Si2,,0.15256828455223212,30.235887003744825,33.76587477050898,1.1167482788359062,56.0504662719,2.4640537593666717e-10,6.089443286452829e-49,0.0,0.0,104.53266906738281
748,H2V,,0.3264922527750058,30.29351212906701,51.33215960661598,1.694493506989641,181.651114358,0.36934309923838055,0.08932152893505066,0.528259369873205,0.23189578581428924,106.69162607192993
749,BeCaSi,,0.33941992531572784,30.478434470075523,39.690931399626336,1.302262799573773,68.2505649704,0.5065590399712708,0.14170410124575594,0.5311233195890184,0.19002568411074855,7.815605401992798
751,B2Ta2,,0.21682607088838177,30.59444589919917,43.757170845532734,1.4302325000328935,82.9507117745,0.0014379305531612623,3.5360525912300834e-06,0.0,0.0,125.2916145324707
752,Al2Ru,,0.0868364098112488,30.634814796566694,36.283249502936,1.1843795937360242,56.4500657977,0.0,0.0,0.0,0.0,50.081451177597046
753,Hf2O2,,0.2433704266586119,30.730922172190105,38.315287504687795,1.2467991454991594,62.5505913466,0.012544461843920052,0.0003061021711012055,0.01740789089864296,0.0,955.1954967975616
754,BeCu,,0.37283799841255844,31.04432391418414,40.61850830665339,1.3084037010738316,59.1505259229,1.001859961789872,0.37068376207720166,0.9492262360751118,0.3936818116469938,2.838338613510132
755,STi,,0.053449104949779724,31.625308046451213,35.670331603129775,1.127904637347318,49.9504849512,0.0,0.0,0.0,0.0,34.81367874145508
756,P2V2,,0.2983364313055975,31.693580284263454,36.01283980457841,1.1362818426184422,53.6504200905,0.16975947844449485,0.026666829392932412,0.1879228308439821,0.040169515955662344,33.11892318725586
757,AlCo,,0.06435589009261825,31.7075545129164,34.903751498630875,1.1008023808462577,51.1505080419,0.0,0.0,0.0,0.0,36.912750482559204
