material_id,lam,w_ratio,Tc_ME_x,S_local_true,Tc_ME_y,Tc_ME_mu13,ad_error,S_secant,B_AD,B_true
531,0.4191204924786836,1.2953720770768211,1.4294267174440085,-10.03279737762166,1.4294267174440085,0.8403637593633404,0.1044567871056668,-9.711040238030359,1.3679198800669155,0.9679294689725333
65,0.4309359245775033,1.3555050736729355,0.561937493807876,-10.5424855371537,0.561937493807876,0.3200541714524369,0.0089926477923884,-10.290682915362646,1.3504732501924035,0.9761154406232141
471,0.4391723881560238,1.0261788586800569,1.506693144975702,-11.500463627028957,1.506693144975702,0.7985298380619635,0.0046279463918264,-11.606951069542319,1.339364844542609,1.009259404313326
217,0.4523247016084417,1.166656266846943,1.2131126854116543,-9.446041867574042,1.2131126854116543,0.7327057408608493,0.0530130062413571,-9.217561725670187,1.3231774128961553,0.9758120760942028
151,0.4708270264888164,1.778288711625336,1.1266534894425804,-8.413441036219897,1.1266534894425804,0.726053382450984,-0.0401000058678401,-8.032604429818903,1.3031448157984007,0.9547347387636651
228,0.4823403600196111,1.223494580669506,1.522520724072526,-9.152725662578682,1.522520724072526,0.9282680216098124,-0.0340194196132133,-9.045742301371991,1.2920415889702503,0.9883113112803001
475,0.4962779066594183,1.2483124062073767,2.653102519511398,-7.97984155575826,2.653102519511398,1.7415012470193958,0.0133383813336948,-7.696200921137897,1.279785899271215,0.9644553550796146
92,0.5166480392489643,1.4580521646341924,1.310440163607686,-7.6867093699649836,1.310440163607686,0.8785588985200093,-0.0523732358671206,-7.309605351306522,1.2638628843553064,0.9509407731568522
660,0.5379466942154549,1.1724010134359886,4.616980559770051,-7.393610188821187,4.616980559770051,3.107576311779304,-0.0174859768666799,-7.237620320812802,1.2493146790647502,0.9789020702979128
157,0.5517614655780168,2.0146862980231384,1.8640722000207832,-7.171180848412406,1.8640722000207832,1.2846639687286658,-0.1701884305175733,-6.805599053300761,1.2408414049385335,0.9490206978683882
287,0.5669903655357376,1.3506629482712298,3.322698471856493,-5.786334454514086,3.322698471856493,2.4686358020817747,0.027689261442584,-5.431655471779386,1.232255824404643,0.9387040300689836
127,0.5883723294156,1.4372470134748845,2.357703708430672,-6.230642136749687,2.357703708430672,1.7045543714097535,-0.0554652249318961,-5.9302455142099575,1.221360649297073,0.9517872129474546
77,0.612533124716365,2.029600064598912,2.15262636444035,-5.417940768461881,2.15262636444035,1.6326658337678936,-0.0789650008477944,-5.054378460270003,1.2104344721616525,0.9328965886249267
153,0.6378701081913472,1.43422242156877,3.361090235765526,-5.121196992479438,3.361090235765526,2.595466174119256,-0.0234665578621085,-4.725763301369304,1.2002948020030328,0.9227849091353381
19,0.6615228063456199,1.231716841418951,2.0230491981703533,-4.539024842274064,2.0230491981703533,1.6005981917619552,0.0219735992997998,-4.28205572352461,1.191850960697169,0.9433867124153671
343,0.698298795226609,1.2773082776931366,6.582914392180359,-4.174391766726848,6.582914392180359,5.317247775188408,0.0191034705656119,-3.9035051192836687,1.1803392923883311,0.9351075168357803
160,0.736509065935749,1.3466578054063896,4.960787693574376,-4.320906461710483,4.960787693574376,3.9692732754574935,-0.0279755835376993,-4.076444486556576,1.1700746859382893,0.9434234512317737
477,0.7667858581443372,1.1157744171183464,9.60670600335167,-4.320906461710505,9.60670600335167,7.676211387823546,-0.0100602001698303,-4.101193419690922,1.1629376036766421,0.9491511690969108
60,0.7921687584313142,1.3418071048269182,4.060802873390365,-3.662965969346299,4.060802873390365,3.373817830125616,-0.0071052608121189,-3.3882214939764412,1.1575239537444901,0.924993986384512
91,0.8382093618519171,1.1367427913444363,5.221315340148551,-3.5883762095479055,5.221315340148551,4.321088701854023,-0.0041590274017854,-3.4596337513759376,1.1488167751038256,0.964122363249034
214,0.8993347862963186,1.6340348762511054,8.203551190163585,-3.585750005519195,8.203551190163585,6.84991382227053,-0.074220658791084,-3.2967287200770192,1.13904792299718,0.9193972571993827
84,0.9668976538236388,1.692929560488284,6.354673582921841,-3.14660106109681,6.354673582921841,5.437421239356434,-0.0663631013387886,-2.8498286637675894,1.1300805106831542,0.9056847717372298
14,1.0778800927958725,1.9239252842736108,4.6284326556698,-2.4165198339468397,4.6284326556698,4.101957293865493,-0.0477531044455569,-2.2075693409430497,1.1183725346055204,0.9135324734072153
32,1.2318273798711703,1.7694527128929365,7.016673575872817,-2.6352629029442465,7.016673575872817,6.160340793630372,-0.043154220509791,-2.379472696313194,1.1063332296687012,0.9029356022333593
121,1.4340462363960134,1.1807788573901603,13.398676073278176,-2.1251410414772742,13.398676073278176,12.026431916313516,0.003168802164066,-1.9753019084436316,1.0951118054839613,0.9294921465873704
1,2.3888949155129646,2.2706842351618963,5.75629406594142,-1.7580723838737766,5.75629406594142,5.287264219394032,0.0585544658154783,-1.5538011885155678,1.0702334425429125,0.883809564821152
