key,formula,source_name,lam,w_log,w_2,w_ratio,w_max,Tc_AD,Tc_AD13,Tc_ME,Tc_ME13,ad_error,ad_error_mu13,secs
87,FeGa2Se4,Ga2Fe1Se4_mp_1078053,0.5319892742782961,8.312335578754489,12.69903037024889,1.5277331202443705,37.638683423,1.52337298037457,0.9740793792192116,1.534925835304385,1.093871210860804,0.0075551217058866865,0.11598545439662564,0.4260282516479492
88,Au2La2,La2Au2_mp_1002136,0.3965117977036947,8.326128394771143,9.825097457506004,1.180031941817787,15.6480562002,0.3917153164065246,0.1669311791494929,0.3907944896538516,0.1853316152716325,-0.002353522398274962,0.1045651088438113,0.4298572540283203
89,Ga2Y,Y1Ga2_JVASP_20237,0.7873591396702235,8.34041560920535,12.219013191024304,1.4650364878146038,35.3503400712,4.613857648203849,3.682715982227971,4.482751797586213,3.686936126977436,-0.02882720873978698,0.0011452766421568917,0.1261665821075439
90,S2Ta,Ta1S2_mp_1690,1.3050798245146031,8.341599553425786,15.185364404532027,1.820437951651084,47.4504368455,10.733435941626391,9.485079167539327,10.222972172893742,9.176512077345375,-0.048726361854049535,-0.033072765523909954,0.0913949012756347
91,AuTe2,Te2Au1_mp_567525,0.8382093618519171,8.390902099163819,9.53829747410137,1.1367427913444363,17.9491889137,5.243076154265376,4.276196985453994,5.220438959705106,4.3206667998334485,-0.00432688816930312,0.010345682363884619,0.0570118427276611
92,Ca2Ga2,Ca2Ga2_JVASP_15694,0.5166480392489643,8.40668552483551,12.257386026885346,1.4580521646341924,27.5501899816,1.3809011860398976,0.859464353555758,1.310340184957508,0.8780354927416456,-0.05244953272296449,0.02137766685636532,0.3155202865600586
93,CaTl,Ca1Tl1_mp_2861,0.2893116454577046,8.436880221989663,11.833067040603108,1.4025405990429631,20.6501932671,0.0329590962635166,0.0042988090318834,0.0380699672855376,,0.14415842559416212,,16.160745859146118
94,CdSr,Sr1Cd1_mp_30496,0.3515595462928989,8.437738696691037,9.901230524035514,1.1734459764579346,14.2500701166,0.1820920115321904,0.0571735375982504,0.1842816053199504,0.0669010613063394,0.011952934143732495,0.15712366914065518,0.9680376052856444
95,CdSe2Tl,Tl1Cd1Se2_mp_998946,0.5790495261613764,8.4968658053668,10.099278706935134,1.188588702972832,19.1501644037,2.076367882364748,1.421504181975684,2.0464904894556697,1.4568472907992565,-0.014493787193754423,0.02455911696240004,0.1192297935485839
96,Bi2Cu2,Cu2Bi2_mp_569792,0.5155336105486557,8.49831866945228,10.059868272379632,1.183748064018879,25.3502837057,1.3810013929299048,0.8581630446742455,1.4296493795082552,0.9754560368255824,0.034620341987729356,0.12811098153110473,0.2459280490875244
97,InLiSn,Li1In1Sn1_mp_568466,0.270058913421895,8.507067985192464,14.199448562441416,1.6691354279943689,31.6502688749,0.0150559965729798,0.0011732766639559,0.0189754625616359,0.0,0.23137034518462649,,136.21843338012695
98,AlPd2Sc,Sc1Al1Pd2_JVASP_17428,0.6322338523403994,8.547493717712278,13.055504789707594,1.527407357159413,38.6504035707,2.738732502144192,1.9821060698364537,2.667473351075793,2.054108335450234,-0.026363508994444423,0.035681902718957985,0.2522997856140136
99,AlNi2Ta,Ta1Al1Ni2_JVASP_15657,0.9552105658952158,8.574772488241807,11.567725676143436,1.349041702506478,39.8502906043,6.87794347719523,5.794177159226633,6.826225124849653,5.930293493206063,-0.007547863629109414,0.023220229532376527,0.1080336570739746
100,AuIn2,In2Au1_mp_22154,0.4376164299336673,8.596303528538526,10.905901388829353,1.2686733725284691,18.7501567068,0.6863375980347016,0.3488524844948236,0.6629057293739649,0.366259056929045,-0.034736839983613696,0.04869173652478951,0.3442404270172119
101,InPd,In1Pd1_mp_21215,0.5637954680968051,8.656946130557628,10.347381172054016,1.1952692111054526,21.8502163578,1.9379588124438192,1.3007760759070657,1.942893305562145,1.3797192839692602,0.0025429960366905955,0.05891899325148987,0.1592569351196289
102,AgGaSc2,Sc2Ga1Ag1_JVASP_41866,0.3516314816704803,8.659787975344397,14.226414186817582,1.6428132221391716,29.950236163,0.1874544274909649,0.0588761702456496,0.189228554044831,0.0791378205758777,0.009419802642514836,0.2957544678110759,3.5813469886779785
103,BiLi,Li1Bi1_mp_22902,0.477706311264153,8.683285221594888,12.842513515110848,1.4789924766230378,32.7502900414,1.038943892757206,0.594522250542228,1.0513887075854922,0.6841823457702403,0.011907159522700219,0.14046632672656764,0.5001747608184814
104,InNbSe2,Nb1In1Se2_mp_1018116,0.3429215669282715,8.692468483828273,13.950438004974146,1.604887959148538,37.8497078917,0.1563557437165177,0.0452976815817137,0.176395444439264,0.0755795910622334,0.12059449856138763,0.5119304352779268,9.021464109420776
105,TlY,Y1Tl1_mp_11575,0.3038726654672722,8.808921603411797,11.080737992256031,1.257899489985736,20.6501932671,0.056515282125253,0.0098170182926956,0.0656515704628877,0.0172784162497541,0.14985044054046476,0.5653406668844194,10.490714311599731
106,Se2V,V1Se2_mp_694,1.24959280990693,8.821060672713381,13.77356774582734,1.5614412208311628,44.9503887399,10.682246914217036,9.400814549703592,10.636125878660213,9.459248028179491,-0.004326888169303678,0.006196550537217001,0.0811178684234619
107,BaZn,Ba1Zn1_mp_902,0.401616303507326,8.830517094527606,9.550160828002577,1.081495084123776,13.3501208271,0.4466645818607179,0.1954043940573127,0.4501137713688092,0.2120622681393944,0.007692439283514803,0.08180872232920046,0.3548758029937744
108,CaCd,Ca1Cd1_mp_1073,0.3290180010412611,8.87702809833571,11.928657368775625,1.343766994610735,22.6502317516,0.1152553540881379,0.0287404280255363,0.1272549636940492,0.0439613705144237,0.09904252499481185,0.4250065318818079,4.250574827194214
109,LaMg,La1Mg1_mp_1104,0.4882881811063272,8.984883868252737,12.204529701021118,1.358340283522718,25.2502817815,1.1783879065018592,0.6917128182745268,1.1607937952387073,0.7446165581502937,-0.015043246143153843,0.073698531849287,0.2799210548400879
110,In2LiPt,Li1In2Pt1_mp_20265,0.4167661124140763,9.00167062601282,14.178187439451422,1.575061788917229,40.4503021497,0.5601315339413686,0.2625741080992119,0.5823241669880723,0.3365051044922681,0.038855642436351916,0.2480799595812578,1.847947359085083
111,Ga2Pt,Ga2Pt1_mp_22095,0.6633840289861225,9.0292109345467,12.969946028313746,1.436442909832728,25.6502894784,3.3036268100148,2.4542690482666187,3.096107352606577,2.353000959130852,-0.06487526857438994,-0.04213745953396487,0.1118733882904052
112,LaTe,La1Te1_mp_1560,0.3614552243084281,9.074101344488923,10.452418430983728,1.1518957122218951,19.5501721006,0.2379611168930333,0.0810779234048466,0.2606925538720456,0.1098842027002164,0.09123447255032047,0.3040163990123269,1.0135996341705322
113,Ag2CdMg,Mg1Cd1Ag2_mp_30727,0.2851343336116378,9.085441912004834,13.678300512166624,1.5055184596021824,28.150201527,0.0303297879546436,0.0035918224003825,0.0367216311882952,,0.19123565670331708,,19.066898107528687
114,InTe,In1Te1_mp_2597,0.5441412432508208,9.197979939386348,10.106003384000102,1.0987198766030724,15.5500951316,1.8193451228739568,1.1873424299996311,1.8006666915234997,1.2084079197166333,-0.010319633233740105,0.017586166799691706,0.0923559665679931
115,Bi4La2Li2,Li2La2Bi4_mp_1095149,0.2686833371515685,9.26146373699205,14.109875826925425,1.5235038680298332,43.8503675734,0.0153763960599226,0.001145860865181,0.0263702503036501,,0.5394028820895361,,104.4351451396942
116,GaHfNi2,Hf1Ga1Ni2_mp_3498,0.7541315179203557,9.308880517214748,12.40947022829222,1.333078688177768,26.3503029479,4.670557840786671,3.672101779336388,4.503610184020648,3.616886337439984,-0.03639917828462992,-0.015150662121796148,0.0933103561401367
117,Pd2Sb2,Sb2Pd2_mp_1769,0.4968552088197149,9.328925360817085,11.698555796226657,1.2540089392677942,27.5501899816,1.3126114569864469,0.7854615314028731,1.3253375637045974,0.8715829618732086,0.009648560564254541,0.10403957166879525,0.2878110408782959
118,HgPt,Hg1Pt1_mp_623,0.1417600722369466,9.330429025627335,10.672918991221511,1.143882983505564,19.3501682521,2.069238067151441e-14,0.0,0.0,0.0,,,8.694794654846191
119,Hg2Rh,Hg2Rh1_mp_11870,0.1196779483532034,9.337729492396283,12.796791715291455,1.3704393263599983,25.950295251,5.013181861265228e-40,0.0,0.0,0.0,,,7.875141382217407
120,LaSn3,La1Sn3_mp_633,0.6491000443725257,9.41889937608966,10.778944598113334,1.144395344691357,18.4501509341,3.232331862494418,2.376292968191528,3.1849460072559914,2.390191757230649,-0.014768478930313036,0.0058318988657040435,0.0787165164947509
121,AsIn,In1As1_mp_21391,1.4340462363960134,9.482704605069014,11.196977108541802,1.1807788573901603,20.9501990397,13.356285518653545,11.97090282605593,13.38906703739799,12.03015927068576,0.002451381793665324,0.00493782856699409,0.0420300960540771
122,BaGa2,Ba1Ga2_mp_1219,0.5906224663833998,9.519581176137669,12.267890897958472,1.2887006971178392,26.850176512,2.4813365300464856,1.721824752636287,2.454737222588617,1.7981467052642894,-0.010777620540231245,0.04337189514367945,0.1449203491210937
123,Pd2Te2,Te2Pd2_mp_564,0.6225712284558265,9.552020620089154,11.364635586417185,1.189762463715359,24.2502625392,2.9154280382445803,2.0927396383897188,2.894035674023314,2.159288167885665,-0.007364693876028869,0.031304576124895477,0.1099321842193603
124,NbS2,Nb1S2_JVASP_578,1.5665064079033526,9.604564613925069,15.46810616104405,1.610495299143263,51.3505118903,15.34201266956998,13.782114756623274,15.017127021045688,13.662088864323373,-0.02140364020050254,-0.008746958681305046,0.0721693038940429
125,AuGa2,Ga2Au1_mp_2776,0.6166167929709107,9.6095014218276,13.560338668725498,1.411138629723674,23.2502432969,2.8601909699509536,2.039984886206115,2.626063850199544,1.8927526702285853,-0.08540230510485078,-0.07491019033924942,0.1062095165252685
126,Zn2,Zn2_mp_79,0.2971327581534412,9.647282059333286,13.050177342446062,1.3527309829010998,29.2502226934,0.0496662807221713,0.007622053525421,0.0639536709739026,0.0174561045285212,0.2528326836386538,0.8286435922696683,22.47986936569214
127,InNi2Ti,Ti1In1Ni2_JVASP_18219,0.5883723294156,9.662430624070664,13.887299557353824,1.4372470134748845,30.4502457842,2.492168874769556,1.7243405051356762,2.356012850363407,1.7053375789835172,-0.05618264530229694,-0.01108157684253875,0.1644272804260254
128,I2Ni,Ni1I2_mp_27638,0.6656810278687353,9.682195268968943,12.01974495051253,1.2414276531930049,21.3502067366,3.565740662279219,2.6550651212449687,3.4446357702310624,2.61582810508689,-0.03455361988996438,-0.014888459797611341,0.0841565132141113
129,AgY,Y1Ag1_mp_2474,0.3520632732302844,9.701099741884311,11.876300628745929,1.224222092828324,20.1501836459,0.2115952831110433,0.0667260993162311,0.220878135720761,0.0852289779069001,0.04293571915070926,0.24474532180458428,1.6532673835754397
130,AgMgSb,Mg1Ag1Sb1_mp_1008903,0.1981541089828971,9.71850033104469,13.566960310619834,1.3959931932380203,29.7502323146,4.712018070320135e-05,4.0234751822815935e-09,0.0,0.0,,,26.26216650009156
131,In2La2Pd4,La2In2Pd4_mp_20743,0.3521926733344679,9.724518009847184,11.352741131596488,1.1674348404826378,21.7502144336,0.2125874219841999,0.0671195142405333,0.2333468448639321,0.0932874654454806,0.09317264992208617,0.3292109270949662,1.6565985679626465
132,CdY,Y1Cd1_mp_915,0.4171332103230537,9.742901496713422,11.990750913842296,1.230716631784396,19.8501778733,0.6081581739773954,0.2856214083501087,0.5986807438071831,0.310220327437563,-0.015706528627800573,0.08261559183199338,0.4350647926330566
133,InS2Ta,Ta1In1S2_mp_22332,0.4969354619490466,9.794540057060326,18.760166831670368,1.915369861410412,50.1504887996,1.3824495857986594,0.8269894802464525,1.2572517783537998,0.829570160300662,-0.09492877723303533,0.0031157129254403265,0.8048605918884277
134,PtSn2,Sn2Pt1_mp_19962,0.3853445261128727,9.796455057485208,11.860836695582178,1.2107274137413238,22.6502317516,0.388842714833548,0.1557331303666804,0.407152223715799,0.1934867684235358,0.046012199753740775,0.21706529034276245,0.9218308925628662
135,IrTe2,Te2Ir1_mp_2285,0.7458785402045616,9.844775819252469,12.467424828989884,1.266400074302206,22.1502221305,4.810029387833318,3.766844686189408,4.633852843665881,3.6690914129194354,-0.03731452412040652,-0.026293637749557244,0.0670945644378662
136,Be2RhTi,Ti1Be2Rh1_JVASP_74488,1.36331408515453,9.925802983817654,19.92321870603822,2.0072148055446664,55.8504624234,13.513312485988354,11.99131514154391,12.968486162020298,11.506820466284172,-0.04115303653980372,-0.041242705969306376,0.0780022144317627
137,Pt2Sn2,Sn2Pt2_mp_19856,0.3784271865310746,9.959518034430106,12.257632304452375,1.2307455302633798,25.6502894784,0.3533249114322108,0.1356321718977138,0.3777944024998605,0.1779673583065138,0.06696207633233177,0.2716535499269635,1.1232657432556152
138,In2LiPd,Li1In2Pd1_mp_20801,0.368716060194234,9.968197450632662,14.900619569607942,1.4948158524550723,41.5503233162,0.2993171154531212,0.1076050510524354,0.3347011788020448,0.1638777378143313,0.11173453201156053,0.42065305917551427,3.946024179458618
139,Mg2Sn,Mg2Sn1_mp_2343,0.2331530764524819,9.97534144012721,14.358848708366436,1.4394343085446633,33.5503054352,0.0019730924637691,2.425797881830694e-05,0.0,0.0,,,20.038246870040894
